,Title,Genre,Year,Duration,Budget,Revenue,Imdb,Personalrating,Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20
15,Barbie,Comedy,2023.0,114.0,145.0,1445.638421,69.0,90.0,70.0,60.0,80.0,7.0,60.0,50.0,80.0,90.0,90.0,70.0,70.0,60.0,60.0,100.0,60.0,80.0,70.0,80.0,60.0,80.0,60.0,50.0,80.0,60.0
16,Bay Watch,Comedy,2017.0,121.0,69.0,170.736984,55.0,100.0,50.0,40.0,70.0,6.0,80.0,70.0,60.0,90.0,90.0,50.0,80.0,50.0,80.0,80.0,60.0,40.0,90.0,50.0,60.0,50.0,80.0,40.0,70.0,70.0
17,Beauty and the Beast,Musical,1991.0,84.0,25.0,424.0,80.0,70.0,70.0,70.0,60.0,8.0,100.0,80.0,70.0,80.0,70.0,80.0,70.0,100.0,60.0,100.0,100.0,100.0,90.0,100.0,60.0,90.0,100.0,90.0,90.0,100.0
18,Big Hero 6,Action,2014.0,105.0,165.0,657.818612,78.0,80.0,80.0,80.0,60.0,8.0,80.0,70.0,90.0,70.0,100.0,70.0,80.0,90.0,70.0,80.0,90.0,100.0,80.0,80.0,80.0,100.0,100.0,90.0,100.0,80.0
19,Black Adam,Action,2022.0,125.0,260.0,392.952111,62.0,80.0,50.0,60.0,50.0,5.0,40.0,50.0,60.0,80.0,50.0,70.0,70.0,30.0,70.0,40.0,30.0,40.0,80.0,70.0,50.0,60.0,70.0,80.0,80.0,40.0
20,Bohemian Rhapsody,Musical,2018.0,134.0,52.4,911.992901,79.0,100.0,60.0,50.0,70.0,8.0,100.0,90.0,80.0,90.0,80.0,90.0,90.0,80.0,90.0,80.0,100.0,60.0,50.0,60.0,90.0,100.0,100.0,100.0,50.0,100.0
21,Bolt,Adventure,2008.0,96.0,150.0,309.979994,68.0,90.0,60.0,60.0,80.0,8.0,60.0,80.0,70.0,80.0,80.0,80.0,90.0,80.0,70.0,60.0,60.0,80.0,100.0,60.0,50.0,70.0,100.0,70.0,90.0,60.0
22,Bruce Almighty,Comedy,2003.0,101.0,81.0,484.592874,68.0,70.0,60.0,50.0,70.0,6.0,50.0,100.0,70.0,60.0,60.0,60.0,80.0,60.0,70.0,60.0,50.0,70.0,60.0,80.0,90.0,70.0,70.0,60.0,70.0,70.0
23,Bullet Train,Action,2022.0,126.0,85.0,238.997,73.0,80.0,50.0,60.0,70.0,6.0,80.0,50.0,80.0,100.0,70.0,60.0,100.0,90.0,80.0,60.0,70.0,70.0,50.0,50.0,70.0,60.0,80.0,70.0,60.0,100.0
24,Candyman,Horror,2021.0,91.0,25.0,77.41157,59.0,50.0,100.0,70.0,50.0,7.0,80.0,60.0,60.0,50.0,20.0,70.0,70.0,70.0,50.0,70.0,70.0,100.0,30.0,60.0,80.0,60.0,30.0,90.0,80.0,40.0
25,Cars,Comedy,2006.0,117.0,120.0,462.0,72.0,100.0,50.0,60.0,70.0,6.0,80.0,100.0,90.0,100.0,100.0,80.0,80.0,90.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,80.0,80.0,70.0
26,Cars 2,Comedy,2011.0,106.0,200.0,559.8,62.0,90.0,60.0,60.0,50.0,6.0,100.0,90.0,90.0,70.0,70.0,90.0,80.0,80.0,100.0,80.0,100.0,80.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0
27,Cars 3,Comedy,2017.0,109.0,175.0,383.9,67.0,100.0,60.0,50.0,60.0,8.0,50.0,80.0,80.0,90.0,70.0,80.0,60.0,60.0,60.0,70.0,70.0,50.0,70.0,80.0,70.0,60.0,60.0,80.0,70.0,50.0
28,Catch me if you can,Crime,2002.0,141.0,52.0,352.114312,81.0,70.0,100.0,70.0,100.0,8.0,80.0,90.0,100.0,90.0,90.0,70.0,90.0,80.0,90.0,70.0,80.0,80.0,100.0,90.0,70.0,80.0,100.0,80.0,90.0,90.0
29,Chicken Little,Comedy,2005.0,81.0,150.0,314.432837,57.0,90.0,60.0,50.0,50.0,5.0,60.0,80.0,90.0,80.0,100.0,80.0,70.0,60.0,60.0,80.0,100.0,80.0,60.0,80.0,100.0,60.0,80.0,70.0,80.0,60.0
30,Click,Comedy,2006.0,107.0,82.5,240.781299,64.0,80.0,60.0,50.0,50.0,5.0,80.0,30.0,100.0,90.0,30.0,70.0,80.0,20.0,90.0,60.0,10.0,50.0,10.0,10.0,40.0,30.0,70.0,80.0,20.0,100.0
31,Coco,Fantasy,2017.0,105.0,175.0,807.082196,84.0,100.0,80.0,90.0,80.0,8.0,80.0,90.0,90.0,100.0,100.0,90.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,90.0,80.0,90.0,100.0,80.0,100.0,100.0
32,Compadres,Comedy,2016.0,101.0,3.0,7.4,48.0,70.0,50.0,50.0,70.0,5.0,50.0,20.0,60.0,20.0,40.0,40.0,70.0,20.0,30.0,70.0,60.0,70.0,40.0,60.0,60.0,20.0,20.0,50.0,10.0,80.0
33,Coraline,Horror,2009.0,100.0,60.0,131.8,77.0,70.0,60.0,60.0,80.0,10.0,90.0,80.0,40.0,100.0,80.0,100.0,60.0,100.0,70.0,100.0,80.0,80.0,70.0,90.0,100.0,100.0,90.0,90.0,100.0,80.0
