-,Genre,Year,Duration (min),Budget (US),Box_office,IMDB (Out of 10),Personal_Rating (out of 10),Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20,,,,,
Creed 2,Sports,2018,130,"$50,000,000.00","$214,115,889.00",7.1,8,7,7,7,8,7,8,7,9,8,6,6,7,8,7,8,6,7,7,6,8,8,7,9,8,,,,,
Creed 3,Sports,2023,116,"$75,000,000.00","$275,248,615.00",6.7,9,8,6,7,6,7,8,7,8,7,8,5,8,8,7,8,7,6,8,8,7,8,8,8,8,,,,,
Cronos,Horror,1993,94,"$2,000,000.00","$621,392.00",6.7,7,7,6,8,8,6,4,8,10,6,8,5,6,6,8,7,10,6,7,8,7,8,8,7,6,,,,,
Dont breathe,Horror,2016,88,"$10,000,000.00","$158,973,685.00",7.1,7,9,8,7,7,10,8,9,4,5,7,6,10,8,4,10,9,8,9,7,8,9,10,2,6,,,,,
Dont breathe 2,Horror,2021,98,"$15,000,000.00","$47,312,950.00",6,7,5,5,6,6,4,4,4,5,4,7,5,3,8,4,6,7,3,2,2,10,5,5,3,7,,,,,
Dont look up,Comedy,2021,145,"$75,000,000.00","$791,863,000.00",7.2,8,5,5,8,6,5,6,8,8,9,7,6,7,6,6,8,7,8,9,8,7,8,5,5,4,,,,,
Doogal,Family,2006,85,"$20,000,000.00","$26,700,000.00",2.8,4,5,5,5,5,10,2,2,2,10,10,1,3,8,2,6,3,2,1,3,3,2,2,10,3,,,,,
Dragon Ball Z: Battle of the  Gods,Action,2013,85,"$636,000.00","$50,353,002.00",7.1,10,8,6,6,9,10,10,8,9,9,8,7,10,7,8,9,8,10,10,9,9,8,10,9,9,,,,,
Due Date,Comedy,2010,95,"$65,000,000.00","$211,800,000.00",6.5,8,6,7,5,6,5,5,6,8,6,6,4,5,6,7,6,5,7,5,4,6,6,4,5,4,,,,,
Dumb and Dumber,Comedy,1994,113,"$17,000,000.00","$247,275,374.00",7.3,9,5,5,6,5,10,7,10,10,10,9,7,8,10,7,9,5,10,9,9,10,10,7,7,8,,,,,
Dune,SciFi,2021,168,"$165,000,000.00","$433,758,183.00",8,10,6,9,6,7,7,9,9,10,8,9,7,9,8,8,9,10,10,9,8,10,9,9,9,9,,,,,
Dune 2,SciFi,2024,166,"$122,000,000.00","$433,800,000.00",N/A,10,7,7,8,6,10,10,10,10,8,10,10,10,10,10,9,9,9,8,10,10,8,10,10,10,,,,,
Earthquake: the San Andreas Fault,Action,2015,114,"$110,000,000.00","$474,000,000.00",6.1,7,5,5,4,5,4,6,7,4,6,8,8,7,5,6,6,5,5,8,4,7,6,5,5,7,,,,,
Elvis,Musical,2022,159,"$85,000,000.00","$287,340,048.00",7.3,8,7,6,10,7,6,8,6,9,5,7,7,9,8,7,8,10,7,7,6,7,8,10,7,6,,,,,
Encanto,Fantasy,2021,109,"$150,000,000.00","$256,786,742.00",7.2,8,7,5,8,8,6,8,9,6,8,6,6,8,9,8,6,6,8,8,8,6,9,8,7,7,,,,,
Enders game,SciFi,2013,114,"$110,000,000.00","$125,537,191.00",6.6,7,8,5,6,7,5,8,6,8,6,8,8,7,5,5,7,6,5,6,5,4,6,7,8,6,,,,,
F9,Action,2021,143,"$200,000,000.00","$726,229,501.00",5.2,10,7,8,5,6,8,10,6,6,7,8,8,6,6,7,6,6,6,4,8,10,10,5,5,5,,,,,
Fast and Furious,Action,2001,106,"$38,000,000.00","$207,283,925.00",6.8,10,5,8,8,6,9,8,9,10,10,7,9,2,8,6,7,4,5,6,3,5,5,7,6,5,,,,,
Fast and Furious 6,Action,2013,130,"$260,000,000.00","$788,679,850.00",7,10,5,5,7,7,6,8,8,9,10,5,8,9,6,9,6,9,8,8,5,7,6,6,8,10,,,,,
Fast Five,Action,2011,130,"$125,000,000.00","$626,137,675.00",7.3,10,7,7,5,6,8,8,8,8,10,9,9,9,9,7,9,9,9,9,5,7,8,9,8,10,,,,,
Fast X,Action,2023,141,"$340,000,000.00","$724,998,540.00",5.8,10,6,6,5,5,5,8,8,5,10,4,1,3,3,5,10,3,3,3,5,6,5,4,8,7,,,,,
Fight club,Horror,1999,139,"$63,000,000.00","$100,853,753.00",8.8,10,6,5,9,9,10,9,9,9,10,10,10,10,10,8,10,10,10,10,9,10,8,10,10,10,,,,,
Finding Nemo,Adventure,2003,101,"$94,000,000.00","$940,400,000.00",8.2,9,8,10,10,8,9,9,9,8,8,7,8,8,10,9,10,9,9,8,7,10,10,9,8,9,,,,,
Five Feet Apart,Romance,2019,117,"$7,000,000.00","$92,554,209.00",7.2,7,6,8,6,8,5,5,5,4,5,1,6,5,8,5,4,4,7,3,6,9,8,5,3,7,,,,,
Five Nights at Freddy´s,Horror,2023,110,"$20,000,000.00","$295,804,363.00",5.5,7,6,5,5,5,3,3,6,10,5,6,7,7,4,10,10,10,8,6,5,4,3,3,10,5,,,,,
Ford v Ferrari,Sports,2019,152,"$97,600,000.00","$225,500,000.00",8.1,10,8,8,6,7,8,10,6,7,10,9,10,6,9,8,8,9,8,8,9,8,8,7,7,6,,,,,
Forrest gump,Comedy,1994,142,"$55,000,000.00","$677,387,716.00",8.8,10,6,10,7,8,9,9,10,10,10,10,10,10,9,9,6,9,5,8,10,9,10,7,10,9,,,,,
Free Guy,Action,2021,115,"$125,000,000.00","$331,526,598.00",7.1,8,7,6,5,5,5,5,2,6,7,2,7,2,7,9,2,9,7,5,10,4,5,8,6,2,,,,,
Friday 13th,Horror,2009,97,"$20,000,000.00","$92,379,051.00",5.5,7,5,5,5,5,5,6,4,4,10,6,6,7,6,4,9,4,4,2,8,5,3,6,2,2,,,,,
Frozen,Musical,2013,102,"$150,000,000.00","$1,284,219,009.00",7.4,10,10,6,8,7,6,8,7,8,3,6,7,6,9,5,10,10,6,7,3,7,8,7,7,10,,,,,
Frozen 2,Fantasy,2019,103,"$150,000,000.00","$1,453,683,476.00",6.8,8,6,8,6,7,7,7,5,6,6,5,8,10,8,10,10,5,4,7,9,7,5,7,4,8,,,,,
Furious 7,Action,2015,140,"$190,000,000.00","$1,516,045,911.00",7.1,9,5,8,6,9,10,8,7,7,9,7,10,9,7,7,10,7,7,9,8,8,5,7,8,7,,,,,
G-Force,Action,2009,88,"$150,000,000.00","$292,817,841.00",5.1,9,5,5,5,5,5,4,1,10,1,3,3,4,10,8,1,2,1,10,3,5,1,7,10,2,,,,,
Get Out,Horror,2017,104,"$4,500,000.00","$255,407,969.00",7.8,9,8,10,8,8,9,8,10,8,9,8,9,10,8,8,8,8,9,8,10,9,10,8,6,10,,,,,
Gladiator,Action,2000,155,"$103,000,000.00","$457,640,427.00",8.5,9,6,8,6,6,8,10,10,4,9,9,6,6,10,3,8,5,8,6,7,10,7,10,8,9,,,,,
Gran Turismo,Sports,2023,135,"$60,000,000.00","$122,000,000.00",7.2,10,6,5,7,7,7,5,7,5,7,4,10,5,7,8,6,10,7,8,4,6,7,5,3,7,,,,,
Happy Death Day,Horror,2017,96,"$4,800,000.00","$125,500,000.00",6.6,8,6,6,5,6,6,8,8,4,7,7,5,6,7,8,5,8,8,7,8,6,8,8,10,6,,,,,
Harry Potter and the Chamber of Secrets,Fantasy,2002,161,"$100,000,000.00","$926,000,000.00",7.4,10,10,6,6,8,8,7,8,10,6,10,8,6,7,8,6,8,10,5,8,8,8,5,8,8,,,,,
Harry Potter and the Deathly Hallows Part 1,Fantasy,2010,146,"$125,000,000.00","$976,000,000.00",7.7,7,6,4,7,6,9,9,8,9,9,7,9,7,9,10,10,8,7,9,8,9,10,10,8,10,,,,,
Harry Potter and the Deathly Hallows Part 2,Fantasy,2011,130,"$125,000,000.00","$1,342,000,000.00",8.1,9,8,8,6,6,9,9,10,6,10,7,9,10,10,9,8,9,10,8,10,9,9,7,9,10,,,,,
Harry Potter and the Goblet of Fire,Fantasy,2005,157,"$150,000,000.00","$896,800,000.00",7.7,9,8,6,3,8,7,8,10,6,8,7,7,6,9,10,6,6,6,6,8,6,8,9,8,9,,,,,
Harry Potter and the Half-Blood Prince,Fantasy,2009,153,"$250,000,000.00","$934,500,000.00",7.6,8,6,6,8,6,9,7,7,6,8,8,7,6,8,8,9,8,7,7,8,8,10,7,8,9,,,,,
Harry Potter and the Order of Phoenix,Fantasy,2007,138,"$150,000,000.00","$942,200,000.00",7.5,8,8,8,7,6,7,7,8,8,10,7,8,9,9,7,9,9,9,4,7,7,5,8,8,7,,,,,
Harry Potter and the Prisoner of Azkaban,Fantasy,2004,139,"$130,000,000.00","$798,000,000.00",7.9,7,10,6,7,8,10,10,10,10,8,8,10,9,8,7,10,10,8,8,10,10,10,9,10,10,,,,,
Harry Potter and the Sorcerer's Stone,Fantasy,2001,152,"$125,000,000.00","$974,800,000.00",7.6,9,8,8,10,8,8,8,9,8,6,7,6,10,8,8,10,7,6,8,8,6,7,8,6,6,,,,,
Hercules,Musical,1997,87,"$85,000,000.00","$252,700,000.00",7.3,10,10,7,8,9,9,10,8,6,9,8,10,10,7,9,8,8,8,10,10,10,8,7,10,9,,,,,
Home Alone,Comedy,1990,103,"$18,000,000.00","$476,700,000.00",7.7,10,6,7,8,7,7,9,9,8,10,10,9,9,8,9,8,9,8,9,9,8,7,8,8,9,,,,,
Hush,horror,2016,87,"$1,000,000.00",NA,6.6,10,8,5,7,6,7,8,8,8,8,8,8,5,8,8,7,8,6,8,6,6,8,7,10,8,,,,,
I am sam,Thriller,2001,132,"$22,000,000.00","$97,800,000.00",7.6,10,6,7,4,6,2,3,2,4,8,4,2,8,2,1,1,2,5,3,5,7,2,3,2,8,,,,,
I see you,Horror,2019,98,"$5,000,000.00","$1,100,000.00",6.8,8,8,7,6,7,8,6,3,6,10,6,6,2,4,8,8,7,8,9,6,4,7,6,2,2,,,,,
Ice age,Adventure,2002,81,"$59,000,000.00","$383,200,000.00",7.5,8,5,8,5,7,7,7,7,10,9,10,9,7,5,9,7,6,6,5,8,6,6,7,7,8,,,,,
Ice age: The Meltdown,Adventure,2006,91,"$80,000,000.00","$667,000,000.00",6.8,9,8,4,5,6,8,6,7,5,6,6,7,6,6,5,8,6,4,7,5,6,4,5,6,6,,,,,
Ice age:Dawn of the Dinosaurs,Adventure,2009,94,"$90,000,000.00","$886,700,000.00",6.9,8,5,6,5,4,5,10,4,6,6,9,9,10,8,6,7,7,6,7,5,9,4,10,8,7,,,,,
Inception,Scifi,2010,148,"$160,000,000.00","$839,000,000.00",8.8,9,6,6,8,2,9,8,9,10,10,10,10,9,10,9,8,10,10,10,10,10,10,7,9,9,,,,,
Inside out,Comedy,2015,95,"$175,000,000.00","$858,800,000.00",8.1,7,10,8,8,10,9,10,10,8,10,8,8,10,8,7,8,10,6,10,10,6,7,7,10,10,,,,,
Interstellar,Scifi,2014,169,"$165,000,000.00","$701,700,000.00",8.7,10,10,2,9,6,10,10,8,10,10,8,10,8,10,10,9,8,10,6,9,9,10,8,10,10,,,,,
IT,Horror,2017,135,"$35,000,000.00","$701,800,000.00",7.3,8,9,7,10,8,8,7,6,8,5,10,7,8,7,9,9,8,7,8,8,6,7,8,6,9,,,,,
IT Chapter Two,Horror,2019,169,"$79,000,000.00","$473,100,000.00",6.5,6,6,6,4,7,5,5,3,7,8,7,1,7,5,3,10,6,1,7,7,3,9,7,7,8,,,,,
John wick,Action,2014,101,"$30,000,000.00","$86,000,000.00",7.4,9,6,8,8,6,8,8,7,9,8,10,8,8,9,9,8,6,7,6,7,9,10,7,9,8,,,,,
John wick 2,Action,2017,122,"$40,000,000.00","$174,300,000.00",7.4,9,8,6,8,6,8,8,7,9,8,8,8,8,8,8,9,10,7,8,7,10,8,10,7,8,,,,,
John wick 3,Action,2019,131,"$75,000,000.00","$327,700,000.00",7.4,9,7,6,6,7,8,10,10,9,8,8,8,9,9,9,7,9,9,9,10,6,8,9,9,8,,,,,
John wick 4,Action,2023,169,"$100,000,000.00","$440,100,000.00",7.7,10,6,7,4,7,10,10,8,10,10,10,9,8,10,8,8,9,9,9,10,10,8,10,7,9,,,,,
Jumanji,Adventure,1995,104,"$65,000,000.00","$263,000,000.00",7.1,9,7,6,6,4,8,8,8,7,6,8,6,8,8,10,8,8,8,7,7,5,8,8,6,7,,,,,
Jumanji: Welcome to the jungle,Adventure,2017,119,"$90,000,000.00","$962,100,000.00",6.9,9,6,7,7,4,3,4,9,6,9,7,4,8,6,4,4,6,4,7,7,8,7,8,6,8,,,,,
Kill Bill,Action,2003,111,"$30,000,000.00","$180,900,000.00",8.2,8,6,10,10,7,10,9,10,10,10,10,10,10,10,9,10,10,10,9,10,8,10,8,10,8,,,,,
King Kong vs. Godzilla,Action,2021,113,"$155,000,000.00","$470,100,000.00",6.3,9,6,8,6,8,1,7,7,7,6,4,6,5,7,4,6,6,6,6,7,6,5,8,4,8,,,,,
KungFu Panda,Comedy,2008,92,"$130,000,000.00","$631,700,000.00",7.6,10,6,6,6,7,9,9,7,9,8,8,10,8,10,10,9,8,10,7,8,9,9,8,8,8,,,,,
KungFu Panda 2,Comedy,2011,92,"$150,000,000.00","$665,700,000.00",7.2,10,7,4,7,4,8,8,6,9,8,9,9,7,10,9,8,9,10,7,8,10,9,10,9,9,,,,,
KungFu Panda 3,Comedy,2016,95,"$145,000,000.00","$521,200,000.00",7.1,10,6,8,8,7,6,7,6,6,7,7,9,7,7,8,6,9,7,5,8,9,6,6,6,6,,,,,
Life of pi,Adventure,2012,127,"$120,000,000.00","$609,000,000.00",7.9,8,6,7,8,6,9,10,9,10,7,10,10,9,8,8,8,9,9,8,8,8,6,10,10,8,,,,,
Lift,Action,2024,107,"$100,000,000.00",N/A,5.5,8,4,7,5,7,3,3,2,3,1,2,4,6,3,2,3,2,4,3,3,4,2,2,3,3,,,,,
Lilo and stitch,Family,2002,85,"$80,000,000.00","$273,100,000.00",7.3,10,8,4,8,6,8,10,98,8,9,10,9,10,10,10,10,9,10,10,8,8,8,10,8,6,,,,,
Lilo and stitch 2,Family,2005,68,N/A,N/A,6.2,9,5,8,6,4,7,5,8,4,5,4,8,6,7,6,8,6,6,5,6,5,6,8,10,6,,,,,
Maleficent,Fantasy,2014,97,"$180,000,000.00","$758,500,000.00",6.9,9,6,6,6,6,6,8,8,7,7,4,8,9,5,6,3,5,4,8,8,7,8,10,2,5,,,,,
Matilda,Comedy,1996,98,"$36,000,000.00","$47,000,000.00",7,10,9,10,9,9,9,8,10,8,9,10,6,9,8,7,8,7,9,8,8,8,9,10,8,10,,,,,
Me Before You,Romance,2016,110,"$20,000,000.00","$208,300,000.00",7.4,10,5,2,4,5,3,5,3,2,4,4,4,4,4,1,2,3,6,8,2,3,5,4,10,1,,,,,
Meet the Robinsons,Adventure,2007,95,"$150,000,000.00","$169,300,000.00",6.8,10,6,4,7,6,7,10,7,106,8,9,8,6,10,6,8,8,10,8,9,10,10,8,8,7,,,,,
Megalodon,Action,2018,88,"$130,000,000.00","$530,200,000.00",2.8,5,5,3,2,3,2,3,4,4,2,4,2,4,6,3,2,2,3,1,5,2,8,1,2,2,,,,,
Mission: Impossible - Dead Reckoning,Action,2023,153,"$291,000,000.00","$567,500,000.00",7.7,8,6,8,8,7,10,9,8,10,8,8,10,9,9,9,8,8,9,8,8,10,8,9,6,8,,,,,
Moana,Musical,2016,103,"$150,000,000.00","$687,200,000.00",7.6,8,8,7,6,8,8,10,8,10,7,9,9,9,10,8,8,10,8,8,9,8,10,7,8,7,,,,,
Mulan,Musical,1998,88,"$90,000,000.00","$304,300,000.00",7.7,9,3,10,5,7,10,10,5,9,10,10,10,7,10,7,9,10,10,10,8,10,8,9,8,8,,,,,
Nightmare Alley,Thriller,2021,150,"$6,000,000.00","$39,600,000.00",7,7,10,10,8,4,6,6,7,6,8,5,4,7,6,5,7,10,10,6,4,7,10,4,9,10,,,,,
No manches frida,Comedy,2016,100,"$2,500,000.00","$23,500,000.00",5.5,7,4,6,4,4,3,1,1,1,1,1,10,4,2,1,6,1,1,6,8,1,3,1,1,3,,,,,
No manches frida 2,Comedy,2019,102,N/A,"$9,300,000.00",4.2,8,4,4,4,4,1,2,2,1,1,1,1,1,1,2,2,1,3,1,10,1,3,1,2,1,,,,,
Nope,Horror,2022,130,"$68,000,000.00","$172,300,000.00",6.8,7,8,6,8,7,10,9,10,8,10,9,10,8,8,8,10,10,9,10,9,10,9,10,10,5,,,,,
Old,Thriller,2021,108,"$18,000,000.00","$90,200,000.00",5.8,6,5,4,0,8,10,2,8,3,3,3,3,5,7,6,9,7,7,10,7,7,6,5,9,10,,,,,
Oppenheimer,Thriller,2023,180,"$100,000,000.00","$953,800,000.00",8.4,10,10,10,9,10,10,10,10,8,9,8,10,9,7,9,8,10,9,7,10,10,10,7,7,10,,,,,
Pacific Rim,Scifi,2013,131,"$180,000,000.00","$411,000,000.00",6.9,9,2,3,6,6,4,9,8,10,9,6,5,8,9,8,10,8,3,10,8,8,8,8,6,7,,,,,
Pacific Rim Uprising,Scifi,2018,111,"$150,000,000.00","$290,900,000.00",5.6,8,3,2,6,6,2,4,3,6,6,5,6,4,4,3,4,3,4,5,5,2,6,4,2,8,,,,,
Planet of the Apes,Action,2001,119,"$100,000,000.00","$362,200,000.00",5.7,10,8,8,5,6,4,3,2,4,3,3,4,1,4,4,2,3,3,7,8,4,3,5,4,4,,,,,
Poor Things,Comedy,2023,141,"$35,000,000.00","$12,830,000.00",8.4,8,10,6,9,8,9,9,9,9,9,2,8,10,10,4,6,9,10,2,1,9,9,1,5,9,,,,,
Priscilla,Romance,2023,110,"$20,000,000.00","$31,100,000.00",6.6,5,8,7,8,8,7,9,10,7,7,7,10,10,10,9,8,8,9,8,9,10,7,7,8,8,,,,,
Pulp Fiction,crime,1994,154,"$8,500,000.00","$213,900,000.00",8.9,9,10,9,10,8,6,8,7,8,10,10,10,10,10,10,10,8,9,7,10,3,7,6,10,9,,,,,
Puss in Boots,Comedy,2011,90,"$130,000,000.00","$555,000,000.00",6.6,10,6,6,4,6,6,6,6,6,8,7,5,7,5,6,5,5,7,8,3,7,6,4,6,8,,,,,
Rampage,Action,2018,107,"$120,000,000.00","$428,000,000.00",6.1,8,3,6,4,6,3,5,6,3,6,2,6,3,3,3,4,6,2,4,5,6,10,10,6,4,,,,,
Ratatouille,Comedy,2007,111,"$150,000,000.00","$623,700,000.00",8.1,10,8,8,6,10,10,9,10,10,10,9,10,10,8,10,10,10,8,10,10,10,10,8,10,10,,,,,
Real steel,SciFi,2011,127,"$110,000,000.00","$299,300,000.00",7.1,9,4,5,4,2,7,6,8,7,8,6,9,8,6,8,3,7,8,5,7,8,7,2,7,9,,,,,
Rio,Comedy,2011,96,"$90,000,000.00","$484,600,000.00",6.9,9,4,5,6,7,6,6,10,7,2,6,7,8,8,8,10,7,8,7,6,2,7,8,7,7,,,,,
Rio 2,Comedy,2014,101,"$130,000,000.00","$498,800,000.00",6.3,8,4,6,3,4,7,4,1,4,5,7,10,5,6,2,5,4,3,1,5,6,3,5,5,2,,,,,
Rise of the guardians,Adventure,2012,97,"$145,000,000.00","$306,900,000.00",7.2,8,3,6,6,4,6,9,7,9,6,7,9,7,8,7,10,9,9,6,9,8,7,10,8,9,,,,,
Robbin hood,Adventure,1973,83,"$15,000,000.00","$33,000,000.00",7.5,9,7,5,8,8,8,9,7,8,9,8,8,8,8,7,8,8,10,7,10,9,9,8,9,8,,,,,
San Andreas,Action,2015,114,"$110,000,000.00","$474,500,000.00",2.1,6,3,7,3,5,4,3,7,6,4,2,4,6,5,4,5,8,3,4,7,6,5,3,5,5,,,,,
Shrek ,Comedy,2001,90,"$60,000,000.00","$491,800,000.00",7.9,9,10,7,9,10,8,10,7,9,7,8,9,9,10,10,6,8,10,7,7,9,10,10,10,7,,,,,
Shrek 2,Comedy,2004,105,"$150,000,000.00","$935,300,000.00",7.3,9,8,10,6,7,10,10,9,10,7,10,10,9,7,10,10,10,9,10,8,10,10,9,10,9,,,,,
Shrek For Ever After,Comedy,2010,93,"$135,000,000.00","$756,200,000.00",6.3,8,6,8,6,6,8,10,4,6,3,2,5,8,8,8,6,7,8,4,9,7,7,5,7,7,,,,,
Shrek The Third,Comedy,2007,93,"$160,000,000.00","$813,400,000.00",6.1,8,6,4,4,4,2,10,1,6,6,10,7,2,4,8,7,8,4,9,6,6,6,4,2,6,,,,,
